Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 61.91     90.34    90.34        1    90.34   141.93  operator*(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&)
 18.22    116.93    26.59 7410065408     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) const
 16.70    141.30    24.37 7410065408     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  2.00    144.21     2.92        1     2.92     3.06  bool std::operator==<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > const&)
  1.15    145.89     1.68       24     0.07     0.07  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.03    145.94     0.05     6000     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.03    145.99     0.05  4006001     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.01    146.00     0.01    12000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.01    146.01     0.01        3     0.00     0.49  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::resize(unsigned long)
  0.00    146.01     0.00  4012001     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00    146.01     0.00    42000     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.00    146.01     0.00    42000     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.00    146.01     0.00    40000     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00    146.01     0.00    36000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00    146.01     0.00    30000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00    146.01     0.00    30000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00    146.01     0.00    24000     0.00     0.00  std::move_iterator<double*>::base() const
  0.00    146.01     0.00    24000     0.00     0.00  std::_Iter_base<std::move_iterator<double*>, true>::_S_base(std::move_iterator<double*>)
  0.00    146.01     0.00    24000     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00    146.01     0.00    24000     0.00     0.00  std::_Miter_base<std::move_iterator<double*> >::iterator_type std::__miter_base<std::move_iterator<double*> >(std::move_iterator<double*>)
  0.00    146.01     0.00    24000     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double*, std::move_iterator<double*> >(double*)
  0.00    146.01     0.00    18000     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00    146.01     0.00    18000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00    146.01     0.00    18000     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00    146.01     0.00    12000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const
  0.00    146.01     0.00    12000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00    146.01     0.00    12000     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00    146.01     0.00    12000     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00    146.01     0.00    12000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00    146.01     0.00    12000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00    146.01     0.00    12000     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00    146.01     0.00    12000     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00    146.01     0.00    12000     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00    146.01     0.00    12000     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00    146.01     0.00    12000     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00    146.01     0.00    12000     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00    146.01     0.00    12000     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00    146.01     0.00    12000     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00    146.01     0.00    12000     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00    146.01     0.00    12000     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00    146.01     0.00    12000     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00    146.01     0.00     6003     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00    146.01     0.00     6000     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00    146.01     0.00     6000     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00    146.01     0.00     6000     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00    146.01     0.00     6000     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
