Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 49.15     39.73    39.73                             main
 27.27     61.78    22.04 2017752307     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) const
 21.24     78.95    17.17 1765706215     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  2.29     80.80     1.85       24    77.13    77.13  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.10     80.88     0.08     3998     0.02     0.02  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.01     80.89     0.01     3176     0.00     0.03  std::vector<double, std::allocator<double> >::resize(unsigned long, double const&)
  0.00     80.89     0.00   514212     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00     80.89     0.00   439124     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00     80.89     0.00    24563     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.00     80.89     0.00    24352     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.00     80.89     0.00    23780     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00     80.89     0.00    20922     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     80.89     0.00    19863     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00     80.89     0.00    17340     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00     80.89     0.00    14044     0.00     0.00  std::move_iterator<double*>::base() const
  0.00     80.89     0.00    13968     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00     80.89     0.00    13897     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double*, std::move_iterator<double*> >(double*)
  0.00     80.89     0.00    13860     0.00     0.00  std::_Iter_base<std::move_iterator<double*>, true>::_S_base(std::move_iterator<double*>)
  0.00     80.89     0.00    13653     0.00     0.00  std::_Miter_base<std::move_iterator<double*> >::iterator_type std::__miter_base<std::move_iterator<double*> >(std::move_iterator<double*>)
  0.00     80.89     0.00    12733     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00     80.89     0.00    12000     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00     80.89     0.00    10427     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     80.89     0.00     9805     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00     80.89     0.00     9403     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     80.89     0.00     9389     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00     80.89     0.00     9338     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00     80.89     0.00     9240     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00     80.89     0.00     9215     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     80.89     0.00     6985     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00     80.89     0.00     6857     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     80.89     0.00     6852     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00     80.89     0.00     6823     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00     80.89     0.00     6821     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     80.89     0.00     6787     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     80.89     0.00     6781     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00     80.89     0.00     6780     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00     80.89     0.00     6728     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00     80.89     0.00     6714     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00     80.89     0.00     6693     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00     80.89     0.00     6477     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const
  0.00     80.89     0.00     6000     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00     80.89     0.00     6000     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00     80.89     0.00     6000     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     80.89     0.00     6000     0.00     0.00  std::allocator<double>::allocator()
  0.00     80.89     0.00     6000     0.00     0.00  std::allocator<double>::~allocator()
  0.00     80.89     0.00     6000     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00     80.89     0.00     6000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00     80.89     0.00     6000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     80.89     0.00     6000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00     80.89     0.00     6000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00     80.89     0.00     6000     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00     80.89     0.00     6000     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00     80.89     0.00     6000     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
